 id,Group,Name,rows,cols,entries
293,Bai,bfwa62,62,62,450
883,Pothen,sphere2,66,66,450
713,LPnetlib,lpi_ex73a,193,211,457
1475,Pajek,GD00_a,352,352,458
1494,Pajek,GD97_c,452,452,460
669,LPnetlib,lp_scagr7,129,185,465
712,LPnetlib,lpi_ex72a,197,215,467
2762,Mycielski,mycielskian6,47,47,472
15,HB,bcspwr03,118,118,476
334,Bai,rw136,136,136,479
70,HB,bcsstm20,485,485,485
695,LPnetlib,lp_stocfor1,117,165,501
265,HB,west0167,167,167,507
2400,Newman,lesmis,77,77,508
603,LPnetlib,lp_blend,74,114,522
11,HB,ash85,85,85,523
188,HB,lns_131,131,131,536
192,HB,lnsp_131,131,131,536
136,HB,dwt_87,87,87,541
2151,JGD_Margulies,cat_ears_3_1,204,181,542
1966,JGD_G5,IG5-7,62,150,549
2142,JGD_Kocay,Trec8,23,84,549
102,HB,can_61,61,61,557
171,HB,impcol_a,207,207,572
2194,JGD_SPG,08blocks,300,300,592
220,HB,nos4,100,100,594
2016,JGD_Homology,ch5-5-b4,120,600,600
2157,JGD_Margulies,flower_5_1,211,201,602
1520,Pajek,Sandi_sandi,314,360,613
1944,JGD_Forest,TF10,99,107,622
25,HB,bcsstk03,112,112,640
1477,Pajek,GD01_a,311,311,645
1478,Pajek,GD01_Acap,953,953,645
707,LPnetlib,lpi_box1,231,261,651
158,HB,gent113,113,113,655
2174,JGD_Relat,rel5,340,35,656
9,HB,ash331,331,104,662
665,LPnetlib,lp_sc205,205,317,665
1782,Meszaros,zed,116,142,666
663,LPnetlib,lp_recipe,91,204,687
44,HB,bcsstk22,138,138,696
273,HB,will199,199,199,701
1326,Morandini,rotor1,100,100,708
2098,JGD_Homology,n3c6-b11,60,675,720
721,LPnetlib,lpi_klein1,54,108,750
2072,JGD_Homology,mk9-b1,378,36,756
108,HB,can_96,96,96,768
682,LPnetlib,lp_share2b,96,162,777
907,vanHeukelum,cage6,93,93,785
298,Bai,bwm200,200,200,796
1195,Rajat,rajat11,135,135,812
69,HB,bcsstm19,817,817,817
118,HB,dwt_234,234,234,834
2091,JGD_Homology,n3c5-b3,210,120,840
2094,JGD_Homology,n3c5-b6,120,210,840
2417,AG-Monien,grid1_dual,224,224,840
2389,Newman,adjnoun,112,112,850
1325,Morandini,robot,120,120,870
163,HB,gre_216a,216,216,876
164,HB,gre_216b,216,216,876
2403,Newman,polbooks,105,105,882
2017,JGD_Homology,ch6-6-b1,450,36,900
2734,VDOL,spaceStation_1,99,99,927
253,HB,steam3,80,80,928
313,Bai,lop163,163,163,935
2153,JGD_Margulies,cat_ears_4_1,377,313,938
2416,AG-Monien,grid1,252,252,952
2048,JGD_Homology,cis-n4c6-b15,60,920,960
2124,JGD_Homology,n4c6-b15,60,920,960
306,Bai,ck104,104,104,992
1523,Pajek,SmallW,396,396,994
162,HB,gre_185,185,185,1005
1943,JGD_CAG,CAG_mat72,72,72,1012
217,HB,nos1,237,237,1017
1476,Pajek,GD00_c,638,638,1041
793,Qaplib,lp_nug05,210,225,1050
700,LPnetlib,lp_vtp_base,198,346,1051
2181,JGD_Relat,relat5,340,35,1058
323,Bai,pde225,225,225,1065
141,HB,fs_183_1,183,183,1069
142,HB,fs_183_3,183,183,1069
143,HB,fs_183_4,183,183,1069
144,HB,fs_183_6,183,183,1069
63,HB,bcsstm08,1074,1074,1074
64,HB,bcsstm09,1083,1083,1083
1630,Bai,rdb200,200,200,1120
1631,Bai,rdb200l,200,200,1120
239,HB,saylr1,238,238,1128
641,LPnetlib,lp_lotfi,153,366,1136
2159,JGD_Margulies,flower_7_1,463,393,1178
681,LPnetlib,lp_share1b,117,253,1179
113,HB,dwt_162,162,162,1182
2338,Rommes,ww_36_pmec_36,66,66,1194
316,Bai,odepa400,400,400,1201
724,LPnetlib,lpi_mondou2,312,604,1208
711,LPnetlib,lpi_cplex2,224,378,1215
10,HB,ash608,608,188,1216
2397,Newman,football,115,115,1226
1921,JGD_BIBD,bibd_9_5,36,126,1260
2022,JGD_Homology,ch7-6-b1,630,42,1260
2057,JGD_Homology,mk10-b1,630,45,1260
2092,JGD_Homology,n3c5-b4,252,210,1260
2093,JGD_Homology,n3c5-b5,210,252,1260
6,HB,arc130,130,130,1282
1676,Meszaros,gams30am,354,531,1287
1712,Meszaros,gams30a,354,531,1287
93,HB,can_144,144,144,1296
175,HB,impcol_e,225,225,1308
2357,Rommes,M10PI_n1,528,528,1317
2365,Rommes,S10PI_n1,528,528,1317
2107,JGD_Homology,n4c5-b10,120,630,1320
174,HB,impcol_d,425,425,1339
1457,Pajek,Cities,55,46,1342
1927,JGD_BIBD,bibd_15_3,105,455,1365
2077,JGD_Homology,n2c6-b2,455,105,1365
2099,JGD_Homology,n3c6-b2,455,105,1365
2110,JGD_Homology,n4c5-b2,455,105,1365
94,HB,can_161,161,161,1377
1189,Rajat,rajat05,301,301,1384
115,HB,dwt_198,198,198,1392
2858,ML_Graph,breasttissue_10NN,106,106,1412
165,HB,gre_343,343,343,1435
606,LPnetlib,lp_bore3d,233,334,1448
119,HB,dwt_245,245,245,1461
66,HB,bcsstm11,1473,1473,1473
95,HB,can_187,187,187,1491
215,HB,nnc261,261,261,1500
1198,Rajat,rajat14,180,180,1503
2763,Mycielski,mycielskian7,95,95,1510
1984,JGD_GL7d,GL7d11,1019,60,1513
2559,CPM,cz148,148,148,1527
673,LPnetlib,lp_scorpion,388,466,1534
2161,JGD_Margulies,flower_8_1,625,513,1538
1112,Sandia,oscil_dcop_01,430,430,1544
1113,Sandia,oscil_dcop_02,430,430,1544
1114,Sandia,oscil_dcop_03,430,430,1544
1115,Sandia,oscil_dcop_04,430,430,1544
1116,Sandia,oscil_dcop_05,430,430,1544
1117,Sandia,oscil_dcop_06,430,430,1544
1118,Sandia,oscil_dcop_07,430,430,1544
1119,Sandia,oscil_dcop_08,430,430,1544
1120,Sandia,oscil_dcop_09,430,430,1544
1121,Sandia,oscil_dcop_10,430,430,1544
1122,Sandia,oscil_dcop_11,430,430,1544
1123,Sandia,oscil_dcop_12,430,430,1544
1124,Sandia,oscil_dcop_13,430,430,1544
1125,Sandia,oscil_dcop_14,430,430,1544
1126,Sandia,oscil_dcop_15,430,430,1544
1127,Sandia,oscil_dcop_16,430,430,1544
1128,Sandia,oscil_dcop_17,430,430,1544
1129,Sandia,oscil_dcop_18,430,430,1544
1130,Sandia,oscil_dcop_19,430,430,1544
1131,Sandia,oscil_dcop_20,430,430,1544
1132,Sandia,oscil_dcop_21,430,430,1544
1133,Sandia,oscil_dcop_22,430,430,1544
1134,Sandia,oscil_dcop_23,430,430,1544
1135,Sandia,oscil_dcop_24,430,430,1544
1136,Sandia,oscil_dcop_25,430,430,1544
1137,Sandia,oscil_dcop_26,430,430,1544
1138,Sandia,oscil_dcop_27,430,430,1544
1139,Sandia,oscil_dcop_28,430,430,1544
1140,Sandia,oscil_dcop_29,430,430,1544
1141,Sandia,oscil_dcop_30,430,430,1544
1142,Sandia,oscil_dcop_31,430,430,1544
1143,Sandia,oscil_dcop_32,430,430,1544
1144,Sandia,oscil_dcop_33,430,430,1544
1145,Sandia,oscil_dcop_34,430,430,1544
1146,Sandia,oscil_dcop_35,430,430,1544
1147,Sandia,oscil_dcop_36,430,430,1544
1148,Sandia,oscil_dcop_37,430,430,1544
1149,Sandia,oscil_dcop_38,430,430,1544
1150,Sandia,oscil_dcop_39,430,430,1544
1151,Sandia,oscil_dcop_40,430,430,1544
1152,Sandia,oscil_dcop_41,430,430,1544
1153,Sandia,oscil_dcop_42,430,430,1544
1154,Sandia,oscil_dcop_43,430,430,1544
1155,Sandia,oscil_dcop_44,430,430,1544
1156,Sandia,oscil_dcop_45,430,430,1544
1157,Sandia,oscil_dcop_46,430,430,1544
1158,Sandia,oscil_dcop_47,430,430,1544
1159,Sandia,oscil_dcop_48,430,430,1544
1160,Sandia,oscil_dcop_49,430,430,1544
1161,Sandia,oscil_dcop_50,430,430,1544
1162,Sandia,oscil_dcop_51,430,430,1544
1163,Sandia,oscil_dcop_52,430,430,1544
1164,Sandia,oscil_dcop_53,430,430,1544
1165,Sandia,oscil_dcop_54,430,430,1544
1166,Sandia,oscil_dcop_55,430,430,1544
1167,Sandia,oscil_dcop_56,430,430,1544
1168,Sandia,oscil_dcop_57,430,430,1544
5,HB,abb313,313,176,1557
709,LPnetlib,lpi_chemcom,288,744,1590
1945,JGD_Forest,TF11,216,236,1607
16,HB,bcspwr04,274,274,1612
1169,Sandia,oscil_trans_01,430,430,1614
17,HB,bcspwr05,443,443,1623
729,LPnetlib,lpi_refinery,323,464,1626
117,HB,dwt_221,221,221,1629
2361,Rommes,M10PI_n,682,682,1633
2369,Rommes,S10PI_n,682,682,1633
727,LPnetlib,lpi_qual,323,464,1646
730,LPnetlib,lpi_vol1,323,464,1646
703,LPnetlib,lpi_bgdbg1,348,629,1662
2,HB,494_bus,494,494,1666
1488,Pajek,GD96_a,1096,1096,1677
247,HB,shl_0,663,663,1687
1967,JGD_G5,IG5-8,156,292,1711
249,HB,shl_400,663,663,1712
668,LPnetlib,lp_scagr25,471,671,1725
248,HB,shl_200,663,663,1726
268,HB,west0497,497,497,1727
1458,Pajek,CSphd,1882,1882,1740
116,HB,dwt_209,209,209,1743
1641,Bai,tols90,90,90,1746
202,HB,lshp_265,265,265,1753
231,HB,plskz362,362,362,1760
2027,JGD_Homology,ch7-7-b1,882,49,1764
96,HB,can_229,229,229,1777
2748,VDOL,tumorAntiAngiogenesis_1,205,205,1783
884,Pothen,sphere3,258,258,1794
2014,JGD_Homology,ch5-5-b2,600,200,1800
2187,JGD_SL6,D_5,434,115,1832
335,Bai,rw496,496,496,1859
678,LPnetlib,lp_sctap1,300,660,1872
1747,Meszaros,p0548,176,724,1887
877,Pothen,mesh3e1,289,289,1889
878,Pothen,mesh3em5,289,289,1889
608,LPnetlib,lp_capri,271,482,1896
267,HB,west0479,479,479,1910
12,HB,ash958,958,292,1916
76,HB,bcsstm26,1922,1922,1922
2061,JGD_Homology,mk11-b1,990,55,1980
321,Bai,olm500,500,500,1996
875,Pothen,mesh2e1,306,306,2018
876,Pothen,mesh2em5,306,306,2018
2164,JGD_Margulies,kneser_6_2_1,601,676,2027
1930,JGD_BIBD,bibd_17_3,136,680,2040
2205,JGD_Trefethen,Trefethen_150,150,150,2040
1982,JGD_GL6,GL6_D_10,163,341,2053
1744,Meszaros,p0201,133,334,2056
2143,JGD_Kocay,Trec9,47,201,2147
266,HB,west0381,381,381,2157
1678,Meszaros,gas11,459,862,2166
166,HB,gre_512,512,512,2192
1639,Bai,tols340,340,340,2196
607,LPnetlib,lp_brandy,220,303,2202
1745,Meszaros,p0282,241,523,2207
8,HB,ash292,292,292,2208
794,Qaplib,lp_nug06,372,486,2232
2890,ML_Graph,YaleA_10NN,165,165,2268
1746,Meszaros,p0291,252,543,2283
315,Bai,mhdb416,416,416,2312
1864,Muite,Chebyshev1,261,261,2319
2421,AG-Monien,netz4504_dual,615,615,2342
2392,Newman,celegansneural,297,297,2345
2030,JGD_Homology,ch7-8-b1,1176,56,2352
675,LPnetlib,lp_scsd1,77,760,2388
2015,JGD_Homology,ch5-5-b3,600,600,2400
926,FEMLAB,poisson2D,367,367,2417
27,HB,bcsstk05,153,153,2423
2866,ML_Graph,dermatology_5NN,366,366,2440
207,HB,lund_b,147,147,2441
635,LPnetlib,lp_israel,174,316,2443
629,LPnetlib,lp_gfrd_pnc,616,1160,2445
122,HB,dwt_310,310,310,2448
206,HB,lund_a,147,147,2449
254,HB,str_0,363,363,2454
3,HB,662_bus,662,662,2474
310,Bai,dw256A,512,512,2480
1616,Bai,dwa512,512,512,2480
601,LPnetlib,lp_bandm,305,472,2494
311,Bai,dw256B,512,512,2500
1617,Bai,dwb512,512,512,2500
121,HB,dwt_307,307,307,2523
1978,JGD_GL6,GL6_D_6,469,201,2526
621,LPnetlib,lp_etamacro,400,816,2537
704,LPnetlib,lpi_bgetam,400,816,2537
100,HB,can_292,292,292,2540
2358,Rommes,M20PI_n1,1028,1028,2547
2366,Rommes,S20PI_n1,1028,1028,2547
1634,Bai,rdb450,450,450,2580
1635,Bai,rdb450l,450,450,2580
728,LPnetlib,lpi_reactor,318,808,2591
1677,Meszaros,gams60am,714,1071,2607
634,LPnetlib,lp_grow7,140,301,2612
1465,Pajek,Erdos971,472,472,2628
1172,MathWorks,Harvard500,500,500,2636
149,HB,fs_680_1,680,680,2646
150,HB,fs_680_2,680,680,2646
151,HB,fs_680_3,680,680,2646
212,HB,mcca,180,180,2659
2749,VDOL,tumorAntiAngiogenesis_2,305,305,2699
203,HB,lshp_406,406,406,2716
670,LPnetlib,lp_scfxm1,330,600,2732
623,LPnetlib,lp_finnis,497,1064,2760
1467,Pajek,Erdos981,485,485,2762
620,LPnetlib,lp_e226,223,472,2768
929,FEMLAB,problem1,415,415,2779
190,HB,lns_511,511,511,2796
193,HB,lnsp_511,511,511,2796
1732,Meszaros,nemsafm,334,2348,2826
1469,Pajek,Erdos991,492,492,2834
269,HB,west0655,655,655,2854
307,Bai,ck400,400,400,2860
598,LPnetlib,lp_agg,488,615,2862
2206,JGD_Trefethen,Trefethen_200b,199,199,2873
2362,Rommes,M20PI_n,1182,1182,2881
2370,Rommes,S20PI_n,1182,1182,2881
2207,JGD_Trefethen,Trefethen_200,200,200,2890
2718,VDOL,orbitRaising_1,442,442,2906
275,HB,wm1,207,277,2909
295,Bai,bfwb398,398,398,2910
98,HB,can_256,256,256,2916
725,LPnetlib,lpi_pang,361,741,2933
1627,Bai,qh768,768,768,2934
276,HB,wm2,207,260,2942
277,HB,wm3,207,260,2948
2193,JGD_SL6,D_11,169,461,2952
124,HB,dwt_361,361,361,2953
1923,JGD_BIBD,bibd_12_4,66,495,2970
2066,JGD_Homology,mk12-b1,1485,66,2970
2869,ML_Graph,Glass_10NN,214,214,2986
2035,JGD_Homology,ch7-9-b1,1512,63,3024
1722,Meszaros,model1,362,798,3028
2084,JGD_Homology,n2c6-b9,306,1470,3060
255,HB,str_200,363,363,3068
99,HB,can_268,268,268,3082
908,vanHeukelum,cage7,340,340,3084
73,HB,bcsstm23,3134,3134,3134
42,HB,bcsstk20,485,485,3135
2040,JGD_Homology,ch8-8-b1,1568,64,3136
824,TOKAMAK,utm300,300,300,3155
126,HB,dwt_492,492,492,3156
256,HB,str_400,363,363,3157
644,LPnetlib,lp_modszk1,687,1620,3168
2560,CPM,cz308,308,308,3182
471,Gset,G11,800,800,3200
472,Gset,G12,800,800,3200
473,Gset,G13,800,800,3200
1824,Meszaros,small,677,1400,3207
123,HB,dwt_346,346,346,3226
692,LPnetlib,lp_standata,359,1274,3230
1939,JGD_BIBD,bibd_81_2,3240,3240,3240
4,HB,685_bus,685,685,3249
222,HB,nos6,675,675,3255
82,HB,bp_0,822,822,3276
257,HB,str_600,363,363,3279
674,LPnetlib,lp_scrs8,490,1275,3288
693,LPnetlib,lp_standgub,361,1383,3339
328,Bai,qh882,882,882,3354
1618,Bai,dwg961a,961,961,3405
602,LPnetlib,lp_beaconfd,173,295,3408
1820,Meszaros,nsic,465,897,3449
234,HB,pores_3,532,532,3474
2691,VDOL,hangGlider_1,360,360,3477
114,HB,dwt_193,193,193,3493
128,HB,dwt_512,512,512,3502
270,HB,west0989,989,989,3537
1637,Bai,tols1090,1090,1090,3546
683,LPnetlib,lp_shell,536,1777,3558
74,HB,bcsstm24,3562,3562,3562
125,HB,dwt_419,419,419,3563
71,HB,bcsstm21,3600,3600,3600
2429,AG-Monien,L,956,956,3640
26,HB,bcsstk04,132,132,3648
292,Bai,bfwa398,398,398,3678
2431,AG-Monien,stufe,1036,1036,3736
240,HB,saylr3,1000,1000,3750
242,HB,sherman1,1000,1000,3750
251,HB,steam1,240,240,3762
2073,JGD_Homology,mk9-b2,1260,378,3780
2074,JGD_Homology,mk9-b3,945,1260,3780
245,HB,sherman4,1104,1104,3786
87,HB,bp_200,822,822,3802
1894,MathWorks,QRpivot,660,749,3808
101,HB,can_445,445,445,3809
1733,Meszaros,nemscem,651,1712,3840
694,LPnetlib,lp_standmps,467,1274,3878
308,Bai,ck656,656,656,3884
204,HB,lshp_577,577,577,3889
2750,VDOL,tumorAntiAngiogenesis_3,410,410,3952
280,HB,young3c,841,841,3988
2049,JGD_Homology,cis-n4c6-b2,1330,210,3990
2125,JGD_Homology,n4c6-b2,1330,210,3990
319,Bai,olm1000,1000,1000,3996
338,Bai,tub1000,1000,1000,3996
691,LPnetlib,lp_stair,356,614,4003
88,HB,bp_400,822,822,4028
216,HB,nnc666,666,666,4044
1,HB,1138_bus,1138,1138,4054
2407,Arenas,celegans_metabolic,453,453,4065
278,HB,young1c,841,841,4089
279,HB,young2c,841,841,4089
281,HB,young4c,841,841,4089
218,HB,nos2,957,957,4137
89,HB,bp_600,822,822,4172
617,LPnetlib,lp_degen2,444,757,4201
795,Qaplib,lp_nug07,602,931,4214
450,Grund,b2_ss,1089,1089,4228
1946,JGD_Forest,TF12,488,552,4231
1529,Pajek,USAir97,332,332,4252
1207,Oberwolfach,t2dal_e,4257,4257,4257
451,Grund,b_dyn,1089,1089,4264
145,HB,fs_541_1,541,541,4285
146,HB,fs_541_2,541,541,4285
147,HB,fs_541_3,541,541,4285
148,HB,fs_541_4,541,541,4285
676,LPnetlib,lp_scsd6,147,1350,4316
2021,JGD_Homology,ch6-6-b5,720,4320,4320
2552,Schulthess,N_biocarta,1922,1996,4335
1981,JGD_GL6,GL6_D_9,340,545,4349
406,FIDAP,ex1,216,216,4352
24,HB,bcsstk02,66,66,4356
1885,NYPA,Maragal_2,555,350,4357
325,Bai,pde900,900,900,4380
685,LPnetlib,lp_ship04s,402,1506,4400
1511,Barabasi,NotreDame_yeast,2114,2114,4480
1757,Meszaros,qiulp,1192,1900,4492
90,HB,bp_800,822,822,4534
2867,ML_Graph,Ecoli_10NN,336,336,4560
699,LPnetlib,lp_tuff,333,628,4561
1968,JGD_G5,IG5-9,342,540,4570
2751,VDOL,tumorAntiAngiogenesis_4,455,455,4593
2754,VDOL,tumorAntiAngiogenesis_7,475,475,4597
223,HB,nos7,729,729,4617
1922,JGD_BIBD,bibd_11_5,55,462,4620
1636,Bai,rdb800l,800,800,4640
1717,Meszaros,l9,244,1483,4659
83,HB,bp_1000,822,822,4661
2208,JGD_Trefethen,Trefethen_300,300,300,4678
300,Bai,cdde1,961,961,4681
301,Bai,cdde2,961,961,4681
302,Bai,cdde3,961,961,4681
303,Bai,cdde4,961,961,4681
304,Bai,cdde5,961,961,4681
305,Bai,cdde6,961,961,4681
2752,VDOL,tumorAntiAngiogenesis_5,460,460,4690
167,HB,hor_131,434,434,4710
2764,Mycielski,mycielskian8,191,191,4720
2060,JGD_Homology,mk10-b4,945,4725,4725
84,HB,bp_1200,822,822,4726
169,HB,illc1033,1033,320,4732
260,HB,well1033,1033,320,4732
599,LPnetlib,lp_agg2,516,758,4740
600,LPnetlib,lp_agg3,516,758,4756
2755,VDOL,tumorAntiAngiogenesis_8,490,490,4776
85,HB,bp_1400,822,822,4790
2753,VDOL,tumorAntiAngiogenesis_6,465,465,4795
86,HB,bp_1600,822,822,4841
1783,Meszaros,de063155,852,1848,4913
1522,Pajek,SmaGri,1059,1059,4919
2359,Rommes,M40PI_n1,2028,2028,5007
2367,Rommes,S40PI_n1,2028,2028,5007
722,LPnetlib,lpi_klein2,477,531,5062
1518,Pajek,Roget,1022,1022,5075
1785,Meszaros,de080285,936,1908,5082
2175,JGD_Relat,rel6,2340,157,5101
2736,VDOL,spaceStation_3,467,467,5103
130,HB,dwt_592,592,592,5104
1784,Meszaros,de063157,936,1908,5119
1954,JGD_Franz,Franz1,2240,768,5120
2436,AG-Monien,cage,366,366,5124
131,HB,dwt_607,607,607,5131
2420,AG-Monien,netz4504,1961,1961,5156
221,HB,nos5,468,468,5172
1638,Bai,tols2000,2000,2000,5184
2673,VDOL,freeFlyingRobot_1,798,798,5246
655,LPnetlib,lp_pilot4,410,1123,5264
726,LPnetlib,lpi_pilot4i,410,1123,5264
205,HB,lshp_778,778,778,5272
18,HB,bcspwr06,1454,1454,5300
2363,Rommes,M40PI_n,2182,2182,5341
2371,Rommes,S40PI_n,2182,2182,5341
2665,VDOL,dynamicSoaringProblem_1,647,647,5367
1979,JGD_GL6,GL6_D_7,636,470,5378
1346,Rajat,rajat19,1157,1157,5399
2111,JGD_Homology,n4c5-b3,1350,455,5400
271,HB,west1505,1505,1505,5445
2078,JGD_Homology,n2c6-b3,1365,455,5460
2100,JGD_Homology,n3c6-b3,1365,455,5460
671,LPnetlib,lp_scfxm2,660,1200,5469
2401,Newman,netscience,1589,1589,5484
2406,Arenas,jazz,198,198,5484
2872,ML_Graph,iris_dataset_30NN,150,150,5518
604,LPnetlib,lp_bnl1,643,1586,5532
632,LPnetlib,lp_grow15,300,645,5620
333,Bai,rdb968,968,968,5632
2879,ML_Graph,Olivetti_norm_10NN,400,400,5656
160,HB,gre_1107,1107,1107,5664
229,HB,plat362,362,362,5786
2735,VDOL,spaceStation_2,329,329,5817
19,HB,bcspwr07,1612,1612,5824
1059,Sandia,fpga_dcop_05,1220,1220,5852
1061,Sandia,fpga_dcop_07,1220,1220,5855
1060,Sandia,fpga_dcop_06,1220,1220,5860
1896,YZhou,circuit204,1020,1020,5883
1058,Sandia,fpga_dcop_04,1220,1220,5884
1064,Sandia,fpga_dcop_10,1220,1220,5884
1062,Sandia,fpga_dcop_08,1220,1220,5888
1063,Sandia,fpga_dcop_09,1220,1220,5888
